design,material,qty,yd_or_hides_per_unit,cost_per_unit_usd,total_cost_usd
color-me-art-wraps,poly600d_pvc,1,3.0522,38.15,38.15
color-me-art-wraps,poly600d_pvc,3,3.0522,38.15,114.45
