design,material,qty,yd_or_hides_per_unit,cost_per_unit_usd,total_cost_usd
color-me-art-wraps-foam,foam_ccf,1,2.7384,24.65,24.65
color-me-art-wraps-foam,foam_ccf,3,2.7384,24.65,73.95
