design,material,qty,yd_or_hides_per_unit,cost_per_unit_usd,total_cost_usd
color-me-art-wraps-liner,tricot_liner,1,2.6397,11.88,11.88
color-me-art-wraps-liner,tricot_liner,3,2.6397,11.88,35.64
